Class Identification,1972,1973,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2021,2022
Lower class,"17.16  (None)","18.03  (None)","17.89  (None)","17.86  (4.36)","34.13  (5.27)","19.67  (6.19)","29.5  (5.73)","13.08  (4.71)","27.56  (6.33)","12.82  (6.69)","28.95  (7.93)","19.61  (4.57)","25.15  (4.89)","26.95  (6.25)","19.37  (6.99)","19.88  (5.59)","25.27  (6.16)","23.21  (5.29)","15.03  (4.16)","25.47  (4.47)","18.61  (4.2)","21.22  (3.66)","25.82  (4.13)","20.78  (4.12)","33.59  (3.75)","25.38  (3.75)","23.56  (4.52)","27.06  (4.84)","22.78  (3.56)","27.47  (3.91)","29.26  (3.72)","24.49  (3.24)","31.84  (3.36)","34.46  (3.21)"
Working class,"21.83  (None)","23.83  (None)","25.34  (None)","24.67  (1.74)","24.98  (2.41)","25.39  (2.22)","25.11  (2.04)","24.35  (1.82)","29.02  (1.99)","23.87  (2.32)","27.32  (1.73)","26.95  (1.94)","23.54  (2.22)","27.59  (2.31)","25.58  (2.31)","27.09  (2.27)","28.15  (1.98)","28.2  (2.46)","28.98  (2.14)","28.82  (1.55)","28.56  (1.73)","28.31  (1.59)","26.31  (1.47)","28.47  (1.77)","28.95  (1.58)","29.23  (1.66)","25.46  (1.89)","27.9  (2.15)","30.38  (2.23)","31.88  (2.05)","28.8  (1.73)","28.51  (1.87)","32.77  (1.55)","31.44  (1.97)"
Middle class,"28.24  (None)","26.05  (None)","21.53  (None)","29.44  (2.39)","27.23  (2.1)","26.73  (2.07)","27.96  (2.01)","28.92  (1.7)","27.63  (2.06)","28.92  (2.64)","32.32  (1.99)","28.53  (1.82)","31.39  (2.13)","29.12  (1.94)","31.37  (2.23)","34.56  (2.57)","32.55  (2.6)","32.13  (2.63)","32.11  (2.03)","30.41  (1.7)","29.07  (1.55)","27.79  (1.8)","29.04  (1.78)","26.3  (1.45)","26.55  (1.64)","31.78  (1.47)","30.37  (2.09)","29.15  (1.77)","31.4  (2.3)","30.62  (1.8)","31.64  (2.17)","31.76  (2.29)","30.09  (1.4)","30.54  (2.05)"
Upper class,"20.24  (None)","22.73  (None)","30.3  (None)","27.91  (6.59)","50.0  (13.58)","27.5  (6.77)","23.2  (6.84)","36.02  (7.2)","28.05  (5.9)","21.21  (9.48)","26.19  (6.51)","33.08  (8.33)","11.9  (4.74)","31.93  (6.81)","31.88  (8.93)","28.67  (5.46)","12.64  (5.55)","31.91  (8.26)","33.38  (7.93)","32.87  (6.18)","24.68  (4.74)","25.45  (5.43)","28.92  (5.07)","34.79  (6.31)","18.89  (4.07)","31.11  (6.05)","20.66  (5.02)","24.73  (6.35)","32.98  (9.13)","20.79  (5.28)","17.81  (5.49)","27.65  (8.97)","38.11  (4.91)","27.87  (6.14)"
