age,1972,1973,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2021,2022
18-34,"46.07  (None)","49.31  (None)","46.78  (None)","48.54  (3.03)","48.82  (2.52)","49.35  (2.86)","47.47  (2.19)","49.54  (2.28)","53.58  (2.51)","49.55  (2.51)","55.52  (2.6)","53.84  (2.78)","51.13  (2.38)","56.02  (3.15)","55.31  (3.48)","57.96  (3.26)","56.8  (3.04)","56.28  (3.21)","59.34  (2.36)","54.31  (2.06)","54.0  (2.25)","53.4  (2.18)","54.59  (2.33)","51.76  (2.07)","54.49  (2.35)","57.85  (1.82)","57.24  (2.64)","56.74  (2.79)","60.25  (2.84)","64.42  (2.29)","63.29  (2.52)","64.39  (2.81)","67.02  (2.09)","65.76  (2.75)"
35-49,"8.0  (None)","8.63  (None)","5.88  (None)","8.34  (1.44)","9.48  (1.83)","8.67  (1.7)","7.63  (1.48)","7.79  (1.32)","12.02  (1.66)","12.45  (1.63)","12.74  (1.77)","13.24  (1.69)","11.53  (1.53)","15.19  (1.65)","12.33  (1.72)","15.42  (2.04)","13.46  (1.66)","18.02  (2.06)","17.81  (1.9)","21.22  (1.41)","17.98  (1.52)","19.35  (1.43)","19.25  (1.46)","20.87  (1.8)","21.39  (1.51)","20.6  (1.28)","17.7  (1.89)","23.08  (2.33)","17.77  (2.04)","17.64  (1.82)","18.04  (1.73)","16.43  (1.55)","23.79  (1.61)","19.22  (1.95)"
50-64,"12.74  (None)","12.64  (None)","11.46  (None)","14.24  (2.26)","13.2  (1.79)","14.48  (2.05)","11.39  (1.86)","13.3  (1.83)","10.74  (1.76)","10.01  (1.88)","8.9  (1.9)","11.5  (1.91)","10.41  (1.8)","8.36  (1.86)","7.42  (1.85)","7.55  (1.8)","8.21  (1.55)","11.19  (2.4)","9.39  (1.83)","8.4  (1.33)","9.85  (1.45)","9.4  (1.32)","11.68  (1.54)","13.23  (1.4)","13.63  (1.59)","15.44  (1.13)","13.75  (1.79)","14.11  (1.56)","20.2  (2.7)","17.21  (1.6)","14.94  (1.54)","15.02  (1.69)","18.82  (1.37)","15.32  (1.69)"
65+,"19.07  (None)","20.98  (None)","15.78  (None)","20.58  (2.95)","16.7  (2.33)","18.66  (2.34)","22.38  (2.78)","16.16  (2.63)","12.16  (1.77)","14.81  (2.09)","19.69  (2.54)","14.98  (1.82)","19.39  (2.54)","15.92  (2.43)","17.52  (2.3)","15.25  (2.25)","17.08  (2.16)","14.86  (1.84)","12.41  (2.08)","12.87  (1.46)","12.52  (1.78)","12.37  (1.43)","12.81  (1.96)","10.5  (1.51)","8.69  (1.58)","8.29  (1.03)","9.16  (1.39)","5.48  (1.15)","10.43  (1.95)","10.9  (1.44)","13.28  (1.57)","11.62  (1.29)","12.0  (1.08)","15.52  (2.13)"
