Gender,1972,1973,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2021,2022
Female,"21.22  (None)","21.47  (None)","18.7  (None)","22.59  (1.88)","21.34  (1.66)","21.21  (1.71)","24.43  (1.86)","23.91  (1.49)","25.77  (1.63)","24.84  (1.82)","26.33  (1.72)","24.03  (1.69)","25.0  (1.56)","25.09  (1.66)","24.01  (1.96)","25.51  (1.71)","27.85  (2.17)","24.06  (1.96)","25.17  (1.69)","23.91  (1.45)","22.8  (1.31)","23.8  (1.51)","23.52  (1.31)","22.62  (1.37)","21.95  (1.15)","24.97  (1.08)","22.12  (1.79)","23.54  (1.71)","25.17  (1.66)","25.72  (1.7)","24.64  (1.5)","24.09  (1.56)","27.82  (1.28)","28.32  (1.85)"
Male,"27.1  (None)","30.13  (None)","28.62  (None)","30.88  (2.1)","33.01  (2.36)","31.12  (2.06)","29.13  (2.08)","29.36  (2.05)","31.87  (2.12)","29.06  (1.86)","34.28  (2.09)","31.87  (2.53)","29.98  (2.4)","32.54  (2.31)","33.12  (2.51)","35.45  (2.66)","31.33  (2.0)","36.52  (2.79)","34.23  (2.22)","35.8  (1.61)","33.55  (1.79)","31.56  (1.74)","32.38  (1.95)","32.56  (1.69)","33.92  (1.67)","33.15  (1.22)","32.66  (1.9)","33.14  (2.08)","35.72  (2.12)","36.09  (2.13)","35.39  (1.84)","35.6  (2.0)","35.93  (1.51)","34.5  (1.8)"
