Degree,1972,1973,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2021,2022
College +,"32.85  (None)","34.49  (None)","32.76  (None)","34.35  (3.24)","32.4  (3.47)","29.02  (3.21)","39.88  (3.37)","37.67  (3.33)","37.21  (3.21)","34.11  (3.09)","40.18  (3.18)","38.44  (3.11)","38.73  (2.91)","34.59  (3.21)","33.74  (3.54)","38.52  (2.81)","28.61  (2.57)","35.17  (3.19)","33.15  (2.78)","33.91  (1.84)","34.79  (2.01)","33.76  (2.12)","33.29  (2.37)","29.26  (2.04)","30.97  (1.83)","35.31  (1.74)","28.57  (2.34)","31.16  (2.3)","33.07  (2.31)","32.17  (2.13)","32.17  (2.01)","30.21  (2.56)","34.2  (1.29)","29.84  (1.73)"
High school,"28.15  (None)","29.15  (None)","25.56  (None)","29.62  (2.3)","30.09  (2.0)","30.97  (1.99)","26.37  (1.88)","28.1  (1.99)","29.72  (1.63)","27.21  (1.9)","31.77  (2.0)","28.21  (2.12)","25.29  (1.72)","29.39  (2.33)","29.51  (2.36)","30.64  (2.55)","34.74  (2.61)","32.32  (2.68)","28.87  (1.88)","29.53  (1.36)","27.34  (1.57)","27.33  (1.7)","26.55  (1.67)","27.79  (1.6)","26.58  (1.54)","28.11  (1.25)","28.01  (1.98)","29.78  (1.7)","32.33  (2.12)","32.73  (1.82)","31.51  (1.56)","31.82  (1.84)","29.91  (1.48)","34.56  (2.17)"
Less than high school,"16.97  (None)","17.53  (None)","16.15  (None)","18.73  (1.8)","19.74  (1.79)","17.05  (1.7)","19.45  (2.5)","16.65  (1.86)","20.33  (2.41)","20.1  (2.03)","17.47  (2.47)","18.19  (2.09)","21.66  (2.14)","20.6  (2.52)","20.85  (2.94)","21.68  (2.77)","19.87  (2.61)","20.1  (2.73)","26.14  (2.66)","24.06  (2.08)","19.51  (2.23)","17.86  (2.54)","21.7  (2.22)","23.19  (2.52)","24.95  (2.69)","18.63  (1.92)","21.91  (2.67)","15.85  (3.39)","15.6  (2.86)","19.02  (2.45)","16.82  (2.69)","18.81  (2.71)","30.21  (3.79)","22.9  (4.53)"
