age,1972,1973,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2021,2022
18-34,46.07,49.31,46.78,48.54,48.82,49.35,47.47,49.54,53.58,49.55,55.52,53.84,51.13,56.02,55.31,57.96,56.8,56.28,59.34,54.31,54,53.4,54.59,51.76,54.49,57.85,57.24,56.74,60.25,64.42,63.29,64.39,67.02,65.76
35-49,8,8.63,5.88,8.34,9.48,8.67,7.63,7.79,12.02,12.45,12.74,13.24,11.53,15.19,12.33,15.42,13.46,18.02,17.81,21.22,17.98,19.35,19.25,20.87,21.39,20.6,17.7,23.08,17.77,17.64,18.04,16.43,23.79,19.22
50-64,12.74,12.64,11.46,14.24,13.2,14.48,11.39,13.3,10.74,10.01,8.9,11.5,10.41,8.36,7.42,7.55,8.21,11.19,9.39,8.4,9.85,9.4,11.68,13.23,13.63,15.44,13.75,14.11,20.2,17.21,14.94,15.02,18.82,15.32
65+,19.07,20.98,15.78,20.58,16.7,18.66,22.38,16.16,12.16,14.81,19.69,14.98,19.39,15.92,17.52,15.25,17.08,14.86,12.41,12.87,12.52,12.37,12.81,10.5,8.69,8.29,9.16,5.48,10.43,10.9,13.28,11.62,12,15.52
