Class Identification,1972,1973,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2021,2022
Lower class,17.16,18.03,17.89,17.86,34.13,19.67,29.5,13.08,27.56,12.82,28.95,19.61,25.15,26.95,19.37,19.88,25.27,23.21,15.03,25.47,18.61,21.22,25.82,20.78,33.59,25.38,23.56,27.06,22.78,27.47,29.26,24.49,31.84,34.46
Working class,21.83,23.83,25.34,24.67,24.98,25.39,25.11,24.35,29.02,23.87,27.32,26.95,23.54,27.59,25.58,27.09,28.15,28.2,28.98,28.82,28.56,28.31,26.31,28.47,28.95,29.23,25.46,27.9,30.38,31.88,28.8,28.51,32.77,31.44
Middle class,28.24,26.05,21.53,29.44,27.23,26.73,27.96,28.92,27.63,28.92,32.32,28.53,31.39,29.12,31.37,34.56,32.55,32.13,32.11,30.41,29.07,27.79,29.04,26.3,26.55,31.78,30.37,29.15,31.4,30.62,31.64,31.76,30.09,30.54
Upper class,20.24,22.73,30.3,27.91,50,27.5,23.2,36.02,28.05,21.21,26.19,33.08,11.9,31.93,31.88,28.67,12.64,31.91,33.38,32.87,24.68,25.45,28.92,34.79,18.89,31.11,20.66,24.73,32.98,20.79,17.81,27.65,38.11,27.87
