Marital status,1972,1973,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2021,2022
Never married,96.73,93.62,93.47,93.47,91.5,90.8,91.01,91.58,90.31,89.13,90.81,89.5,86.47,88.6,82.57,90.96,84.65,84.55,87.32,86.16,79.31,80.05,75.64,74.8,75.55,74.69,70.43,69.4,73.68,71.55,73.08,71.8,72.17,72.53
Married,10.51,13.9,11.22,14.02,14.04,13.15,14.64,13.03,14.1,13.34,14.37,13.99,13.07,13,13.22,11.79,14.21,12.85,14.01,12.98,14.34,11.37,13.27,12.94,13.91,13.04,10.24,12.51,13.2,15.6,13.24,13.83,15.2,13.97
Separated,21.43,11.43,17.54,8.23,7.35,11.69,7.58,21.74,8.33,9.86,1.72,15.84,11.25,12,7.84,5.73,6.17,9.72,6.91,14.46,17.87,14.56,11.05,11.82,10.31,17.38,12.74,10.4,19.97,4.39,10.43,8.83,10.38,10
Divorced,19.47,17.86,29.51,17.56,24.84,19.53,21.39,16,20.77,17.37,17.83,22.67,15.72,20.41,16.53,21.89,18.43,17.02,17.36,16.21,16.36,16.32,21,20.98,17.53,17.37,13.34,15.07,14.2,12.67,14.01,15.58,18.76,15.14
Widowed,13.43,18.52,17.06,17.8,16.59,14.16,14.59,11.79,10.84,15.81,18.33,7.77,15.62,12.39,8.99,11.46,14.32,13.12,12.73,10.75,12.61,14.76,8.05,6.65,7.54,5.13,10.16,9.57,6.84,12.15,10.84,8.68,10.18,12.98
